Date,Price,GDP
12/1/2007,0.0,0.0
1/1/2008,0.5,0.2
2/1/2008,0.8,0.5
3/1/2008,0.9,0.6
4/1/2008,0.9,0.8
5/1/2008,0.9,0.9
6/1/2008,0.9,1.1
7/1/2008,1.1,1.5
8/1/2008,1.2,1.5
9/1/2008,1.1,1.8
10/1/2008,1.7,1.8
11/1/2008,1.9,1.8
12/1/2008,2.0,1.7
1/1/2009,2.8,2.1
2/1/2009,3.1,2.1
3/1/2009,3.2,1.9
4/1/2009,3.3,1.8
5/1/2009,3.5,1.8
6/1/2009,3.6,2.0
7/1/2009,3.8,1.8
8/1/2009,4.1,1.9
9/1/2009,4.2,1.9
10/1/2009,5.0,2.0
11/1/2009,5.1,2.2
12/1/2009,5.2,2.3
1/1/2010,5.8,2.4
2/1/2010,6.1,2.5
3/1/2010,6.3,2.6
4/1/2010,6.4,2.8
5/1/2010,6.4,2.9
6/1/2010,6.6,3.2
7/1/2010,6.7,3.2
8/1/2010,6.8,3.4
9/1/2010,7.0,3.6
10/1/2010,7.4,3.8
11/1/2010,7.5,3.9
12/1/2010,7.5,4.1
1/1/2011,7.9,4.1
2/1/2011,8.3,4.4
3/1/2011,8.5,4.7
4/1/2011,8.7,4.9
5/1/2011,8.7,5.2
6/1/2011,8.8,5.3
7/1/2011,9.0,5.6
8/1/2011,9.1,5.8
9/1/2011,9.3,6.0
10/1/2011,9.6,5.9
11/1/2011,9.7,6.0
12/1/2011,9.9,6.0
1/1/2012,10.3,6.2
2/1/2012,10.6,6.5
3/1/2012,10.7,6.8
4/1/2012,10.8,7.0
5/1/2012,10.9,7.1
6/1/2012,10.9,7.0
7/1/2012,11.3,7.3
8/1/2012,11.4,7.6
9/1/2012,11.5,7.9
10/1/2012,11.8,8.1
11/1/2012,11.7,8.0
12/1/2012,11.8,8.0
1/1/2013,12.3,8.2
2/1/2013,12.5,8.6
3/1/2013,12.7,8.6
4/1/2013,12.2,8.5
5/1/2013,12.1,8.6
6/1/2013,12.3,8.9
7/1/2013,12.5,9.0
8/1/2013,12.5,9.1
9/1/2013,12.7,9.4
10/1/2013,13.2,9.5
11/1/2013,13.3,9.8
12/1/2013,13.1,10.0
1/1/2014,13.6,10.1
2/1/2014,13.9,10.2
3/1/2014,13.9,10.4
4/1/2014,14.0,10.6
5/1/2014,14.0,10.9
6/1/2014,14.2,11.0
7/1/2014,14.4,11.2
8/1/2014,14.5,11.3
9/1/2014,14.7,11.4
10/1/2014,14.6,11.5
11/1/2014,14.8,11.5
12/1/2014,15.0,11.5
1/1/2015,14.9,11.1
2/1/2015,15.1,11.5
3/1/2015,15.2,11.8
4/1/2015,15.4,11.8
5/1/2015,15.3,12.1
6/1/2015,15.4,12.3
7/1/2015,15.6,12.4
8/1/2015,15.8,12.4
9/1/2015,15.8,12.5
10/1/2015,16.0,12.7
11/1/2015,16.1,12.7
12/1/2015,16.1,12.7
1/1/2016,16.3,12.7
2/1/2016,16.7,12.7
3/1/2016,16.8,12.9
4/1/2016,16.9,13.2
5/1/2016,16.9,13.4
6/1/2016,17.1,13.7
7/1/2016,17.5,13.7
8/1/2016,17.9,13.8
9/1/2016,18.0,14.0
10/1/2016,18.4,14.3
11/1/2016,18.4,14.3
12/1/2016,18.3,14.6
1/1/2017,18.7,15.0
2/1/2017,18.8,15.0
3/1/2017,19.0,14.9
4/1/2017,18.8,15.2
5/1/2017,18.9,15.2
6/1/2017,19.1,15.3
7/1/2017,19.4,15.6
8/1/2017,19.5,15.9
9/1/2017,19.5,16.1
10/1/2017,20.1,16.3
11/1/2017,20.1,16.5
12/1/2017,20.3,16.7
1/1/2018,21.0,17.1
2/1/2018,21.4,17.2
3/1/2018,21.6,17.3
